// 翻译注意事项：
// 1、文本格式为UTF-8。
// 2、仅翻译等号右侧、引号内的中文文本即可，引号内的英文无需翻译。
// 3、双斜杠“//”后的中文无需翻译，为备注提示信息。
// 4、中文里的{0}{1}为动态替换文本，很特别的话我会给出范例。
// 5、[feee75]xxxx[-]这类的文本，中括号内的为颜色代码，无需翻译。

// *******************************************
// *******************************************
// ****************客户端本地化资源***********
// *******************************************
// *******************************************


// CombatSetWnd
CombatSetWnd_1 =增益状态
item_name_40 =鞋子重置石
item_name_41 =护符重置石
item_name_42 =项链重置石
item_name_43 =戒指重置石
item_name_44 =钻石
item_name_45 =金币
item_name_46 =套装箱子·白色
item_name_47 =套装箱子·绿色
item_name_48 =套装箱子·蓝色
item_name_49 =套装箱子·紫色
item_name_50 =套装箱子·橙色
item_name_51 =体力
item_name_52 =随机经验波利
// 商城道具
item_name_53 =少量钻石
item_name_54 =少量金币
item_name_55 =一把钻石
item_name_56 =一堆金币
item_name_57 =一堆钻石
item_name_58 =一袋金币
item_name_59 =一袋钻石
item_name_60 =一箱金币
item_name_61 =一盒钻石
item_name_62 =一箱钻石
item_name_63 =体力补充
item_name_64 =挑战券补充
item_name_65 =随机经验波利
item_name_66 =基础召唤礼包
item_name_67 =进阶召唤礼包
item_name_68 =双倍经验 1 天
item_name_69 =双倍经验 3 天
item_name_70 =改名卡
item_name_71 =体力
item_name_72 =随机使魔
item_name_73 =随机装备
item_name_74 =随机经验波利
item_name_75 =竞技场券
item_name_76 =升星波利
item_name_77 =友情点
item_name_78 =套装·活力×6
item_name_79 =套装·暴怒×6
item_name_80 =套装·强攻×6
item_name_81 =满级升星波利
item_name_82 =高阶经验波利×3
item_name_83 =技能波利
item_name_84 =套装·聚能×2
item_name_50314 =三属性经验波利
item_name_50320 =双倍经验 12 小时
item_name_50323 =双倍经验 6 小时
item_name_50324 =刻印召唤礼包 I
item_name_50325 =刻印召唤礼包 II
item_name_50326 =刻印召唤礼包 III
item_name_50327 =刻印召唤礼包 IV
item_name_50328 =光暗召唤礼包 I
item_name_50329 =光暗召唤礼包 II
item_name_50330 =光暗召唤礼包 III
item_name_50331 =光暗召唤礼包 IV
item_name_50332 =月卡礼包
item_name_50333 =新手超惠礼包
item_name_50334 =特惠召唤礼包
item_name_50335 =使魔觉醒礼包
item_name_50336 =装备卸载礼包
item_name_50337 =使魔觉醒卷
item_name_50338 =装备卸载免费卷
item_name_50339 =市集刷新卷
item_name_50340 =许愿卷
item_name_50341 =每日礼包
item_name_50350 =周末特惠
item_name_51013 =水、火、风召唤卷
item_name_51014 =功勋
item_name_51015 =公会喇叭
item_name_51016 =双倍经验 30 分钟
item_name_51017 =自动圣域
item_name_51018 =自动爬塔
item_name_50358 =火强化礼包
item_name_50359 =风强化礼包
item_name_50360 =水强化礼包
item_name_50361 =光强化礼包
item_name_50362 =暗强化礼包
item_name_50363 =初心礼包
item_name_50365 =月卡 15 天
item_name_50366 =进阶礼包
item_name_50368 =月卡 30 天
item_name_50369 =高阶礼包
item_name_50405 =六星传说套装（6件）
item_name_50371 =新手装备礼包
item_name_51019 =暴怒套装（6件）

// test测试道具
test_item_name_1 =[6ed1ff]200 钻[-] (送10%)
test_item_name_2 =一小堆钱
test_item_name_3 =宝石
test_item_name_4 =测试宝箱
test_item_name_5 =测试宝箱
test_item_name_6 =双倍经验
test_item_name_7 =双倍金币

// 单位/unit
item_unit_1 =块
item_unit_2 =个
item_unit_3 =只
item_unit_4 =袋
item_unit_5 =堆

// 描述/desc
item_desc_1 =远古魔法学院的召唤卷轴，由于较为破\n旧导致能量不稳定。\n\n[797979]可在祭坛召唤1～3星使魔。[-]
item_desc_2 =远古魔法学院的稀有卷轴，随时有能量\n迸射出来。\n\n[797979]可在祭坛召唤3～5星使魔。[-]
item_desc_3 =远古魔法学院的稀有卷轴，蕴含着火焰\n的能量。\n\n[797979]可在祭坛召唤3～5星火属性使魔。[-]
item_desc_4 =远古魔法学院的稀有卷轴，蕴含着风暴\n的能量。\n\n[797979]可在祭坛召唤3～5星风属性使魔。[-]
item_desc_5 =远古魔法学院的稀有卷轴，蕴含着冰冷\n的能量。\n\n[797979]可在祭坛召唤3～5星水属性使魔。[-]
item_desc_6 =远古魔法学院的超稀有卷轴，混合着光\n与暗的能量。\n\n[797979]可在祭坛召唤3～5星光、暗属性使魔。[-]
item_desc_7 =远古魔法学院的超稀有卷轴，拥有极其\n庞大的能量。\n\n[797979]可在祭坛召唤4～5星稀有使魔。[-]
item_desc_8 =暂为开放，敬请期待。
item_desc_9 =光暗召唤卷的残页，收集 50 张数量，\n可拼凑为一块完整的光暗召唤卷。\n\n[797979]可在祭坛召唤3～5星光、暗属性使魔。[-]
item_desc_10 =传说召唤卷的残页，收集 100 张数量，\n可拼凑为一块完整的传说召唤卷。\n\n[797979]可在祭坛召唤4～5星稀有使魔。[-]
item_desc_11 =万能使魔召唤碎片，最多可替换 25 个 \n4 星以下使魔的召唤碎片。
item_desc_12 =神秘的使魔记忆残页，收集一定数量，\n可召出对应使魔。
item_desc_13 =散落在世界各地的神秘石头，凑齐一定\n数量可在祭坛召唤出限定使魔。\n\n[797979]召唤祭坛需要 50 个刻印召唤石。[-]\n[797979]可召唤出刻印列表中每周限定的使魔。[-]
item_desc_50013 =隐藏在成长手册中的独特的稀有卷轴，\n可召唤超强使魔：火- 九尾狐、风- 世\n界树长老、水- 米诺陶斯中的一只。\n\n[797979]可在祭坛召唤出特定的5星使魔。[-]
item_desc_50014 =史诗级的稀有使魔召唤卷轴！\n\n[797979]可在祭坛召唤火、风、水属性5星稀有使魔。[-]
item_desc_14 =一小块魔力元素魂石可在「魔力圣域」获得，\n对于所有使魔觉醒是不可或缺的材料。\n\n[797979]「魔力圣域」永久开放。[-]
item_desc_15 =一小块火之元素魂石可在「火之圣域」获得，\n对于火系使魔觉醒是不可或缺的材料。\n\n[797979]「火之圣域」固定在每周二开启。[-]
item_desc_16 =一小块风之元素魂石可在「风之圣域」获得，\n对于风系使魔觉醒是不可或缺的材料。\n\n[797979]「风之圣域」固定在每周三开启。[-]
item_desc_17 =一小块水之元素魂石可在「水之圣域」获得，\n对于水系使魔觉醒是不可或缺的材料。\n\n[797979]「水之圣域」固定在每周四开启。[-]
item_desc_18 =一大块魔力元素魂石可在「魔力圣域」获得，\n对于所有使魔觉醒是不可或缺的材料。\n\n[797979]「魔力圣域」永久开放。[-]
item_desc_19 =一大块火之元素魂石可在「火之圣域」获得，\n对于火系使魔觉醒是不可或缺的材料。\n\n[797979]「火之圣域」固定在每周二开启。[-]
item_desc_20 =一大块风之元素魂石可在「风之圣域」获得，\n对于风系使魔觉醒是不可或缺的材料。\n\n[797979]「风之圣域」固定在每周三开启。[-]
item_desc_21 =一大块水之元素魂石可在「水之圣域」获得，\n对于水系使魔觉醒是不可或缺的材料。\n\n[797979]「水之圣域」固定在每周四开启。[-]
item_desc_22 =完整的魔力元素魂石可在「魔力圣域」获得，\n对于所有使魔觉醒是不可或缺的材料。\n\n[797979]「魔力圣域」永久开放。[-]
item_desc_23 =完整的火之元素魂石可在「火之圣域」获得，\n对于火系使魔觉醒是不可或缺的材料。\n\n[797979]「火之圣域」固定在每周二开启。[-]
item_desc_24 =完整的风之元素魂石可在「风之圣域」获得，\n对于风系使魔觉醒是不可或缺的材料。\n\n[797979]「风之圣域」固定在每周三开启。[-]
item_desc_25 =完整的水之元素魂石可在「水之圣域」获得，\n对于水系使魔觉醒是不可或缺的材料。\n\n[797979]「水之圣域」固定在每周四开启。[-]
item_desc_26 =一小块光之元素魂石可在「光之圣域」获得，\n对于光系使魔觉醒是不可或缺的材料。\n\n[797979]「光之圣域」固定在每周日开启。[-]
item_desc_27 =一大块光之元素魂石可在「光之圣域」获得，\n对于光系使魔觉醒是不可或缺的材料。\n\n[797979]「光之圣域」固定在每周日开启。[-]
item_desc_28 =完整的光之元素魂石可在「光之圣域」获得，\n对于光系使魔觉醒是不可或缺的材料。\n\n[797979]「光之圣域」固定在每周日开启。[-]
item_desc_29 =一小块暗之元素魂石可在「暗之圣域」获得，\n对于暗系使魔觉醒是不可或缺的材料。\n\n[797979]「暗之圣域」固定在每周一开启。[-]
item_desc_30 =一大块暗之元素魂石可在「暗之圣域」获得，\n对于暗系使魔觉醒是不可或缺的材料。\n\n[797979]「暗之圣域」固定在每周一开启。[-]
item_desc_31 =完整的暗之元素魂石可在「暗之圣域」获得，\n对于暗系使魔觉醒是不可或缺的材料。\n\n[797979]「暗之圣域」固定在每周一开启。[-]
item_desc_32 =拥有神奇力量的精炼石，可专门\n用于精炼武器的属性。\n随机增加武器任意一条属性。
item_desc_33 =拥有神奇力量的精炼石，可专门\n用于精炼铠甲的属性。\n随机增加铠甲任意一条属性。
item_desc_34 =拥有神奇力量的精炼石，可专门\n用于精炼鞋子的属性。\n随机增加鞋子任意一条属性。
item_desc_35 =拥有神奇力量的精炼石，可专门\n用于精炼护符的属性。\n随机增加护符任意一条属性。
item_desc_36 =拥有神奇力量的精炼石，可专门\n用于精炼项链的属性。\n随机增加项链任意一条属性。
item_desc_37 =拥有神奇力量的精炼石，可专门\n用于精炼戒指的属性。\n随机增加戒指任意一条属性。
item_desc_38 =拥有神奇力量的重置石，可专门\n用于精炼武器的属性。\n随机重置武器任意一条属性。
item_desc_39 =拥有神奇力量的重置石，可专门\n用于精炼铠甲的属性。\n随机重置铠甲任意一条属性。
item_desc_40 =拥有神奇力量的重置石，可专门\n用于精炼鞋子的属性。\n随机重置鞋子任意一条属性。
item_desc_41 =拥有神奇力量的重置石，可专门\n用于精炼护符的属性。\n随机重置护符任意一条属性。
item_desc_42 =拥有神奇力量的重置石，可专门\n用于精炼项链的属性。\n随机重置项链任意一条属性。
item_desc_43 =拥有神奇力量的重置石，可专门\n用于精炼戒指的属性。\n随机重置戒指任意一条属性。
item_desc_44 =世间流行的高级交易货币，有了\n它展翅高飞！
item_desc_45 =亘古不变的传统交易货币，没有\n它寸步难行！
item_desc_46 =获得部位：随机不重复
item_desc_47 =获得部位：随机不重复
item_desc_48 =获得部位：随机不重复
item_desc_49 =获得部位：随机不重复
item_desc_50 =获得部位：随机不重复
item_desc_51 =""
item_desc_52 =""
// 商城道具描述
item_desc_53 =购买后立即获得 72 钻石。
item_desc_54 =购买后立即获得 40,000 金币。
item_desc_55 =购买后立即获得 120 钻石。
item_desc_56 =购买后立即获得 45,000 金币。
item_desc_57 =购买后立即获得 260 钻石。
item_desc_58 =购买后立即获得 165,000 金币。
item_desc_59 =购买后立即获得 600 钻石。
item_desc_60 =购买后立即获得 1,520,000 金币。
item_desc_61 =购买后立即获得 1,550 钻石。
item_desc_62 =购买后立即获得 3,100 钻石。
item_desc_63 =奇怪的闪电标，碰触后全身充满\n能量。\n购买后获得 85 体力值。
item_desc_64 =用于竞技场出战时候的凭证。\n购买后获得自身最大出战券相同\n的数量。
item_desc_65 =奇怪的盒子中藏匿着经验波利。\n随机获得任意属性经验波利 1 只。
item_desc_66 =为召唤和提升使魔专门定制的基\n础召唤礼包，比单独购买召唤卷\n轴更加划算。
item_desc_67 =为召唤和提升使魔专门定制的进\n阶召唤礼包，比单独购买召唤卷\n轴更加划算。
item_desc_68 =24小时内使魔战斗所获经验将增\n加100%。\n可与已有双倍经验时间叠加。\n（除活动双倍经验外）
item_desc_69 =72小时内使魔战斗所获经验将增\n加100%。\n可与已有双倍经验时间叠加。\n（除活动双倍经验外）
item_desc_70 =厌烦自己的昵称了么？有此卡，\n可更改自己的昵称 1 次。
item_desc_71 =用于进行副本、圣域的挑战，体\n力不足将无法进行挑战。
item_desc_72 =""
item_desc_73 =""
item_desc_74 =""
item_desc_75 =用于竞技场出战时候的凭证。
item_desc_76 =""
item_desc_77 =""
item_desc_78 =包含全套活力套装的神奇宝箱。
item_desc_79 =包含全套暴怒套装的神奇宝箱。
item_desc_80 =包含全套强攻套装的神奇宝箱。
item_desc_81 =二星升星波利×2
item_desc_82 =使用获得以下道具：\n高阶经验波利·火×1\n高阶经验波利·风×1\n高阶经验波利·水×1
item_desc_83 =获得技能波利×1
item_desc_84 =包含两件聚能套装的神奇宝箱。
item_desc_50320 =12小时内使魔战斗所获经验将增\n加 100%。\n可与已有双倍经验时间叠加。\n（除活动双倍经验外）
item_desc_50321 =奇怪的盒子中藏匿着经验波利。\n获得三属性经验波利各 1 只。
item_desc_50322 =购买后立即获得 3,100 钻石。\n每月首次购买赠送传说召唤卷×1。
item_desc_50323 =6 小时内使魔战斗所获经验将增\n加 100%。\n可与已有双倍经验时间叠加。\n（除活动双倍经验外）
item_desc_50324 =有中意的使魔出现在刻印召唤了\n么？\n这里有大把大把刻印召唤石噢~
item_desc_50328 =神秘的光暗属性使魔正在等待您\n的召唤！
item_desc_50332 =购买后立即获得 120 钻石奖励，\n之后的 30 天内每天登录都可以\n领取额外的 30 钻石奖励，请注\n意及时登录游戏哦！
item_desc_50333 =购买后连续 7 天内每天登录都可\n以领取丰厚的神秘召唤卷和道具\n奖励，请注意及时登录游戏哦！
item_desc_50334 =购买后连续 11 天内每天登录都\n可以领取丰厚的神秘召唤卷和金\n币奖励，请注意及时登录游戏哦！
item_desc_50335 =获得了理想使魔？立即觉醒吧！\n无需魂石，立即觉醒胎 3 到 5 \n星使魔。
item_desc_50336 =还在苦恼于装备调整么？一天内\n装备卸载全免费！
item_desc_50338 =还在苦恼于装备调整么？使用之\n后立即装备卸载全免费！
item_desc_50339 =使用后可免费刷新市集商品的神\n奇道具！
item_desc_50340 =使用后可在许愿池进行免费许愿\n的神奇道具！
item_desc_50341 =每日仅限购买一次的限时优惠礼包！
item_desc_50350 =想尽快提升技能等级？技能波利\n在等待召唤师的召唤！
item_desc_50351 =美好的未来，神秘的光暗属性使\n魔正在等待您的召唤！
item_desc_51013 =使用既得水、火、风召唤卷×1！
item_desc_51014 =挑战竞技场获得的交易货币！
item_desc_51015 =用于在世界频道进行公会宣传的\n神奇小喇叭！
item_desc_51016 =30 分钟内使魔战斗所获经验将增\n加 100%。\n可与已有双倍经验时间叠加。\n（除活动双倍经验外）
item_desc_50363 =可召唤3~5★使魔
item_desc_50364 =可召唤4~5★使魔
item_desc_50365 =月卡有效期内，每日可收到月卡钻石赠\n礼，开放自动爬塔和自动圣域功能。
item_desc_50366 =可直接觉醒使魔
item_desc_50368 =月卡有效期内，可额外获得每日月卡钻石赠礼。
item_desc_50370 =可召唤5★使魔
item_desc_50405 =可从任意套装中选择一套 6 件 6 星传说装备。
item_desc_50371 =想快人一步的起点？\n立即获得 4★ 紫色暴怒套装 6 件！\n将强大的攻击使魔们武装起来，\n用暴击碾压一切吧！
item_desc_51019 =包含 6 件紫色暴怒套装的神奇宝箱。
item_desc_50302 =首充购买后可立即获得 144 钻石。
item_desc_50304 =首充购买后可立即获得 240 钻石。
item_desc_50306 =首充购买后可立即获得 520 钻石。
item_desc_50308 =首充购买后可立即获得 1,200 钻石。
item_desc_50310 =首充购买后可立即获得 3,100 钻石。
item_desc_50311 =首充购买后可立即获得 6,200 钻石。\n每月首次购买还可获得「[ffb26e]传说召唤卷×1[-]」，\n可在祭坛召唤4～5星稀有使魔！
item_desc_50311_0 =购买后可立即获得 3,100 钻石。\n每月首次购买还可获得「[ffb26e]传说召唤卷×1[-]」，\n可在祭坛召唤4～5星稀有使魔！

// 测试道具/desc
test_item_desc_1 =与财富女神的交易总是收获颇丰，小小的袋子里装满了钻石～
test_item_desc_2 =道具描述
test_item_desc_3 =道具描述
test_item_desc_4 =道具描述
test_item_desc_5 =道具描述
test_item_desc_6 =双倍经验道具
test_item_desc_7 =双倍金币道具

// billing.csv
gift_name_1 =钻石兑换礼包
gift_name_2 =入群礼包

// login_bonus_common.csv
bonus_notify_1 =奖励领取成功

// task.csv
// 任务标题/title
task_title_1   =每日登录
task_title_2   =强化装备
task_title_3   =强化使魔
task_title_4   =召唤使魔
task_title_5   =挑战巨石
task_title_6   =魔力之源
task_title_7   =征服圣域·火
task_title_8   =征服圣域·风
task_title_9   =征服圣域·水
task_title_10  =征服圣域·光
task_title_11  =征服圣域·暗
task_title_12  =消耗体力
task_title_13  =至高竞技
task_title_14  =任务完成

task_title_15  =探索平原
task_title_16  =探索森林
task_title_17  =探索沙漠
task_title_18  =探索矿山
task_title_19  =探索峡谷
task_title_20  =探索山脉
task_title_21  =探索群岛
task_title_22  =探索海岸
task_title_23  =探索废墟
task_title_24  =练习对战
task_title_27  =装备强攻

task_title_50  =扩充包裹
task_title_51  =扩充仓库
task_title_52  =强化装备至+15
task_title_53  =强化装备成功
task_title_54  =强化装备失败
task_title_55  =强化装备
task_title_56  =玩家等级升至10级
task_title_57  =召唤使魔
task_title_58  =觉醒使魔
task_title_59  =强化使魔
task_title_60  =获得2个活力套装效果
task_title_61  =获得2个套装效果
task_title_62  =市集消费
task_title_63  =购买所有市集商品
task_title_64  =通过许愿喷泉获得钻石
task_title_65  =获得 50000 金币
task_title_66  =累计获得600金币
task_title_67  =通过抽奖获得2次装备
task_title_68  =通过召唤获得2个3星使魔
task_title_69  =拥有觉醒使魔

task_title_100 =调查兰达平原·普通
task_title_101 =调查兰达平原·困难
task_title_102 =深入兰达平原·困难
task_title_103 =调查兰达平原·极难
task_title_104 =深入兰达平原·极难
task_title_105 =征服兰达平原·极难
task_title_106 =调查塔巴伦森林·普通
task_title_107 =调查塔巴伦森林·困难
task_title_108 =深入塔巴伦森林·困难
task_title_109 =调查塔巴伦森林·极难
task_title_110 =深入塔巴伦森林·极难
task_title_111 =征服塔巴伦森林·极难
task_title_112 =调查斯姆塔斯沙漠·普通
task_title_113 =调查斯姆塔斯沙漠·困难
task_title_114 =深入斯姆塔斯沙漠·困难
task_title_115 =调查斯姆塔斯沙漠·极难
task_title_116 =深入斯姆塔斯沙漠·极难
task_title_117 =征服斯姆塔斯沙漠·极难
task_title_118 =调查拉纳斯矿山·普通
task_title_119 =调查拉纳斯矿山·困难
task_title_120 =深入拉纳斯矿山·困难
task_title_121 =调查拉纳斯矿山·极难
task_title_122 =深入拉纳斯矿山·极难
task_title_123 =征服拉纳斯矿山·极难
task_title_124 =调查诺耶拉峡谷·普通
task_title_125 =调查诺耶拉峡谷·困难
task_title_126 =深入诺耶拉峡谷·困难
task_title_127 =调查诺耶拉峡谷·极难
task_title_128 =深入诺耶拉峡谷·极难
task_title_129 =征服诺耶拉峡谷·极难
task_title_130 =调查科罗加山脉·普通
task_title_131 =调查科罗加山脉·困难
task_title_132 =深入科罗加山脉·困难
task_title_133 =调查科罗加山脉·极难
task_title_134 =深入科罗加山脉·极难
task_title_135 =征服科罗加山脉·极难
task_title_136 =调查伊斯坦群岛·普通
task_title_137 =调查伊斯坦群岛·困难
task_title_138 =深入伊斯坦群岛·困难
task_title_139 =调查伊斯坦群岛·极难
task_title_140 =深入伊斯坦群岛·极难
task_title_141 =征服伊斯坦群岛·极难
task_title_142 =调查温克姆海岸·普通
task_title_143 =调查温克姆海岸·困难
task_title_144 =深入温克姆海岸·困难
task_title_145 =调查温克姆海岸·极难
task_title_146 =深入温克姆海岸·极难
task_title_147 =征服温克姆海岸·极难
task_title_148 =调查索罗尔废墟·普通
task_title_149 =调查索罗尔废墟·困难
task_title_150 =深入索罗尔废墟·困难
task_title_151 =调查索罗尔废墟·极难
task_title_152 =深入索罗尔废墟·极难
task_title_153 =征服索罗尔废墟·极难
// 地下城挑战任务标题
task_title_154 =巨石王者·一
task_title_155 =巨石王者·二
task_title_156 =巨石王者·三
task_title_157 =巨石王者·四
task_title_158 =巨石王者·五
task_title_159 =巨石王者·六
task_title_160 =巨石王者·六附
task_title_161 =巨石王者·七
task_title_162 =巨石王者·七附
task_title_163 =巨石王者·八
task_title_164 =巨石王者·八附
task_title_165 =巨石王者·九
task_title_166 =巨石王者·九附
task_title_167 =巨石王者·十
task_title_168 =巨石王者·十附
task_title_169 =魔眼王者·一
task_title_170 =魔眼王者·二
task_title_171 =魔眼王者·三
task_title_172 =魔眼王者·四
task_title_173 =魔眼王者·五
task_title_174 =魔眼王者·六
task_title_175 =魔眼王者·六附
task_title_176 =魔眼王者·七
task_title_177 =魔眼王者·七附
task_title_178 =魔眼王者·八
task_title_179 =魔眼王者·八附
task_title_180 =魔眼王者·九
task_title_181 =魔眼王者·九附
task_title_182 =魔眼王者·十
task_title_183 =魔眼王者·十附
task_title_184 =火之王者·一
task_title_185 =火之王者·二
task_title_186 =火之王者·三
task_title_187 =火之王者·四
task_title_188 =火之王者·五
task_title_189 =火之王者·六
task_title_190 =火之王者·七
task_title_191 =火之王者·八
task_title_192 =火之王者·九
task_title_193 =火之王者·十
task_title_194 =火之王者·十附
task_title_195 =风之王者·一
task_title_196 =风之王者·二
task_title_197 =风之王者·三
task_title_198 =风之王者·四
task_title_199 =风之王者·五
task_title_200 =风之王者·六
task_title_201 =风之王者·七
task_title_202 =风之王者·八
task_title_203 =风之王者·九
task_title_204 =风之王者·十
task_title_205 =风之王者·十附
task_title_206 =水之王者·一
task_title_207 =水之王者·二
task_title_208 =水之王者·三
task_title_209 =水之王者·四
task_title_210 =水之王者·五
task_title_211 =水之王者·六
task_title_212 =水之王者·七
task_title_213 =水之王者·八
task_title_214 =水之王者·九
task_title_215 =水之王者·十
task_title_216 =水之王者·十附
task_title_217 =光之王者·一
task_title_218 =光之王者·二
task_title_219 =光之王者·三
task_title_220 =光之王者·四
task_title_221 =光之王者·五
task_title_222 =光之王者·六
task_title_223 =光之王者·七
task_title_224 =光之王者·八
task_title_225 =光之王者·九
task_title_226 =光之王者·十
task_title_227 =光之王者·十附
task_title_228 =暗之王者·一
task_title_229 =暗之王者·二
task_title_230 =暗之王者·三
task_title_231 =暗之王者·四
task_title_232 =暗之王者·五
task_title_233 =暗之王者·六
task_title_234 =暗之王者·七
task_title_235 =暗之王者·八
task_title_236 =暗之王者·九
task_title_237 =暗之王者·十
task_title_238 =暗之王者·十附
task_title_hx1 =核心王者·一
task_title_hx2 =核心王者·二
task_title_hx3 =核心王者·三
task_title_hx4 =核心王者·四
task_title_hx5 =核心王者·五
task_title_hx6 =核心王者·六
task_title_hx6_1 =核心王者·六附
task_title_hx7 =核心王者·七
task_title_hx7_1 =核心王者·七附
task_title_hx8 =核心王者·八
task_title_hx8_1 =核心王者·八附
task_title_hx9 =核心王者·九
task_title_hx9_1 =核心王者·九附
task_title_hx10 =核心王者·十
task_title_hx10_1 =核心王者·十附
// 冒险旅程
task_adv_254 =旅程·一
task_adv_255 =旅程·二
task_adv_256 =旅程·三
task_adv_257 =旅程·四
task_adv_258 =旅程·五
task_adv_259 =旅程·六
task_adv_260 =旅程·七
task_adv_261 =旅程·八
task_adv_262 =旅程·九
task_adv_263 =旅程·十
task_adv_264 =坚韧不拔
task_adv_265 =中大奖啦！
task_adv_266 =钱生钱
task_adv_267 =金斧头银斧头
task_adv_268 =初级自我修养
task_adv_269 =中级自我修养
task_adv_270 =高级自我修养
task_adv_271 =上级自我修养
task_adv_272 =宗师自我修养
task_adv_273 =小钱钱的守护·一
task_adv_274 =小钱钱的守护·二
task_adv_275 =小钱钱的守护·三
task_adv_276 =小钱钱的守护·四
task_adv_277 =这些我都想要
task_adv_278 =老板藏了只狗！
task_adv_279 =花钱！
task_adv_280 =花钱！花钱！
task_adv_281 =铁打的算盘
task_adv_282 =不差钱！
task_adv_283 =寻觅友情·一
task_adv_284 =寻觅友情·二
task_adv_285 =寻觅友情·三
task_adv_286 =寻觅友情·四
task_adv_287 =寻觅友情·五
task_adv_288 =友情万岁·一
task_adv_289 =友情万岁·二
task_adv_290 =友情万岁·三
task_adv_291 =友情万岁·四
task_adv_292 =友情万岁·五
task_adv_293 =隐藏圣域·一
task_adv_294 =隐藏圣域·二
task_adv_295 =隐藏圣域·三
task_adv_296 =隐藏圣域·四
task_adv_297 =隐藏圣域·五
task_adv_298 =复活吧！我的勇士！
task_adv_299 =普通的试炼·五十
task_adv_300 =普通的试炼·六十
task_adv_301 =普通的试炼·七十
task_adv_302 =普通的试炼·八十
task_adv_303 =普通的试炼·九十
task_adv_304 =普通的试炼·一百
task_adv_305 =困难的试炼·五十
task_adv_306 =困难的试炼·六十
task_adv_307 =困难的试炼·七十
task_adv_308 =困难的试炼·八十
task_adv_309 =困难的试炼·九十
task_adv_310 =困难的试炼·一百
// 使魔养成
task_pet_311 =初级使魔培养师
task_pet_312 =中级使魔培养师
task_pet_313 =高级使魔培养师
task_pet_314 =顶级使魔培养师
task_pet_315 =元素之主
task_pet_316 =光暗之星
task_pet_317 =觉醒之力
task_pet_318 =觉醒！
task_pet_319 =觉醒！觉醒！
task_pet_320 =全明星战队
task_pet_321 =召唤者之书·一
task_pet_322 =召唤者之书·二
task_pet_323 =召唤者之书·三
task_pet_324 =召唤者之书·四
task_pet_325 =召唤者之书·五
task_pet_326 =召唤者之书·六
task_pet_327 =召唤者之书·七
task_pet_328  =碎片大师·一
task_pet_329  =碎片大师·二
task_pet_330  =碎片大师·三
task_pet_331  =碎片大师·四
task_pet_332  =碎片大师·五
task_pet_333  =碎片大师·六
task_pet_334  =使魔炼成·一
task_pet_335  =使魔炼成·二
task_pet_336  =使魔炼成·三
// 装备达人
task_eqpt_337  =量身打造
task_eqpt_338  =女神的眷顾
task_eqpt_339  =女神也有走眼的时候
task_eqpt_340  =铁匠·小有所成
task_eqpt_341  =铁匠·趁热打铁
task_eqpt_342  =铁匠·精益求精
task_eqpt_343  =铁匠·良工巧匠
task_eqpt_344  =铁匠·千锤百炼
task_eqpt_345  =铁匠·匠心之作
task_eqpt_346  =百炼匠人
task_eqpt_347  =精致装备·一
task_eqpt_348  =精致装备·二
task_eqpt_349  =精致装备·三
task_eqpt_350  =上品良器·攻击
task_eqpt_351  =上品良器·防御
task_eqpt_352  =上品良器·生命
task_eqpt_353  =上品良器·敏捷
task_eqpt_354  =上品良器·命中
task_eqpt_355  =上品良器·抵抗
task_eqpt_356  =上品良器·暴击
task_eqpt_357  =上品良器·暴伤
task_eqpt_368 =激活强攻
task_eqpt_369 =激活活力
task_eqpt_370 =激活铁壁
task_eqpt_371 =激活反击
task_eqpt_372 =激活暴怒
task_eqpt_373 =激活狂刃
task_eqpt_374 =激活疾风
task_eqpt_375 =激活鹰眼
task_eqpt_376 =激活坚韧
task_eqpt_377 =激活灾难
task_eqpt_378 =激活预言
task_eqpt_379 =激活贪欲
task_eqpt_380 =激活聚能
task_eqpt_381 =激活庇护
task_eqpt_382 =激活宽恕

// 竞技之心
task_arena_358  =首胜
task_arena_359 =连胜·一
task_arena_360 =连胜·二
task_arena_361 =连胜·三
task_arena_362 =好胜心
task_arena_363 =无后顾之忧
task_arena_364 =以少胜多
task_arena_365 =背水胜
task_arena_366 =压制胜
task_arena_367 =神速胜
task_arena_383 =初心者小成
task_arena_384 =上位者荣耀
task_arena_385 =斗魔士之心

// 指引手册任务-等级星级
task_title_250 =升至20级
task_title_251 =升至25级
task_title_252 =练级队长
task_title_253 =三星
task_title_254 =四星
task_title_255 =五星
task_title_256 =五星战队
task_title_257 =六星
task_title_258 =研究所·一
task_title_259 =研究所·二
task_title_260 =研究所·三
task_title_261 =研究所·四

// 指引手册任务-套装强化
task_title_262 =收集活力
task_title_263 =巨石三层
task_title_264 =巨石五层
task_title_265 =巨石七层
task_title_266 =收集强攻
task_title_267 =强攻强化
task_title_268 =强攻进阶
task_title_269 =收集暴怒
task_title_270 =暴怒强化
task_title_271 =暴怒进阶
task_title_272 =终极输出
task_title_273 =无尽强化

// 指引手册任务-进阶觉醒
task_title_274 =魔力三层
task_title_275 =初级之火
task_title_276 =中级之火
task_title_277 =火之证明
task_title_278 =初级之风
task_title_279 =中级之风
task_title_280 =风之证明
task_title_281 =初级之水
task_title_282 =中级之水
task_title_283 =水之证明
task_title_284 =无尽魔力
